subitem_id,line_item_id,service_id,description,quantity,list_price,net_price,total_price
SUB_20250425_A_01,LI_20250425_A,SR20250425_A,15208AA21A ELEM CP-OIL FLTR,1,0,0,0
SUB_20250425_A_02,LI_20250425_A,SR20250425_A,803916010 GASKET,1,0,0,0
SUB_20250425_A_03,LI_20250425_A,SR20250425_A,SOA635335 OW-16 SYNTHETIC MOTOR OIL,6,0,0,0
SUB_20250915_A_01,LI_20250915_A,SR20250915_A,15208AA21A ELEM CP-OIL FLTR,1,9.75,6.25,6.25
SUB_20250915_A_02,LI_20250915_A,SR20250915_A,803916010 GASKET,1,1.75,1.5,1.5
SUB_20250915_A_03,LI_20250915_A,SR20250915_A,SOA635335 OW-16 SYNTHETIC MOTOR OIL,6,10.12,4.36,26.16
SUB_20260124_A_01,LI_20260124_A,SR20260124_A,15208AA21A ELEM CP-OIL FLTR,1,9.75,6.25,6.25
SUB_20260124_A_02,LI_20260124_A,SR20260124_A,803916010 GASKET,1,1.75,1.5,1.5
SUB_20260124_A_03,LI_20260124_A,SR20260124_A,SOA635335 OW-16 SYNTHETIC MOTOR OIL,6,10.12,4.36,26.16
SUB_20260601_A_01,LI_20260601_A,SR20260601_A,15208AA21A ELEM CP-OIL FLTR,1,9.75,6.25,6.25
SUB_20260601_A_02,LI_20260601_A,SR20260601_A,803916010 GASKET,1,1.75,1.5,1.5
SUB_20260601_A_03,LI_20260601_A,SR20260601_A,SOA635335 OW-16 SYNTHETIC MOTOR OIL,6,10.12,4.63,26.16
